,Dimensions,is subdimension of,Definition,Reference,occurrence,keywords
1,Acceptability,,"Acceptability is a multi-faceted construct that reflects the extent to which people delivering or receiving data consider it to be appropriate, based on anticipated or experienced cognitive and emotional responses to the data.",sekhon2017acceptability,149,"surveillance: 9; evaluation: 9; data quality: 8; reliability: 8; validity: 7; survey: 5; electronic health records: 4; data collection: 4; questionnaire: 4; hiv: 4; quality: 3; epidemiology: 3; mortality: 3; surveillance system: 3; review: 3; imaging: 2; program evaluation: 2; database: 2; sub-saharan africa: 2; elcd: 2; meningitis: 2; africa: 2; india: 2; tanzania: 2; community health workers: 2; assessment: 2; china: 2; health care: 2; developing countries: 2; emergency department: 2; patient satisfaction: 2; immunization: 2; cause of death: 2; cancer: 2; multiple sclerosis: 2; selfreport: 2; mobile phone: 2; pregnancy: 2; barriers: 2; challenges: 2; rai 2.0: 1; minimum data set: 1; mds: 1; unified: 1; applied statistics: 1; funding: 1; electronic medical record: 1; technology acceptance model: 1; ambulatory care: 1; cholera: 1; nigeria: 1; clinical governance: 1; general practice: 1; realist evaluation: 1; quality assurance: 1; amazon mechanical turk: 1; health information exchange: 1; mixed methods: 1; public health reporting: 1; cancer registry: 1; incidence: 1; acceptability judgments: 1; medicines: 1; retail and wholesale outlet survey: 1; sales volumes: 1; measurement methods: 1; comparative analysis: 1; data warehouse: 1; emergency medicine: 1; hospital information systems: 1; text mining: 1; user computer interface: 1; vital signs.: 1; grammaticality judgments: 1; inappropriate attendance: 1; health service use: 1; experimental syntax: 1; information systems: 1; linguistic theory: 1; imaging mass spectrometry: 1; electronic data collection: 1; costs: 1; time management: 1; work satisfaction: 1; cystic fibrosis: 1; disease registry: 1; patient registry: 1; neurotransmitter: 1; expanded program on immunization: 1; epi: 1; ethnicity: 1; mobile technology: 1; smartphone questionnaire survey: 1; voiced question: 1; sri lanka: 1; computer: 1; handheld: 1; randomised control trial: 1; rehabilitation medicine: 1; neurology: 1; hospital-based surveillance: 1; communicable diseases: 1; qatar: 1; human resources: 1; eye health: 1; acetylcholine: 1; cataract: 1; low vision: 1; blindness: 1; ophthalmology: 1; optometry: 1; nursing: 1; vision 2020: 1; prevention of mother-to-child transmission of hiv: 1; antiretroviral therapy: 1; option b+: 1; implementation science: 1; ms: 1; electricity: 1; ilcd, data quality: 1; observational studies: 1; guidance for analysis: 1; level of statistical knowledge: 1; elcd database: 1; energy datasets: 1; fuel: 1; biofuel: 1; natural gas: 1; data quality indicators: 1; lci datasets: 1; lci database: 1; energy: 1; pef: 1; factual vocabulary: 1; controlled health services research: 1; medical informatics observational study: 1; ms/ms: 1; hiv/aids: 1; continuing professional development (cpd): 1; fieldworkers: 1; health research ethics: 1; ims: 1; inhalant use: 1; interventions: 1; street children: 1; treatment seeking: 1; eelgrass leaf growth rates: 1; allometric estimation: 1; parametric uncertainty effects: 1; data quality control: 1; web mining: 1; web scraping: 1; innovation: 1; r&d: 1; maternal newborn child health: 1; information system: 1; infectious disease surveillance: 1; mixed-methods: 1; malaria: 1; emis: 1; public health informatics: 1; thailand: 1; safety evaluation: 1; risk assessment: 1; endocrine toxicology: 1; good laboratory practice: 1; cerebral blood flow: 1; cerebrovascular reactivity: 1; magnetic resonance imaging: 1; respiratory challenge: 1; injury surveillance system: 1; exercise: 1; telemedicine: 1; cell phones: 1; injury prevention: 1; digital mapping: 1; geographic locations: 1; web-based: 1; men who have sex with men: 1; hearing voices: 1; auditory hallucinations: 1; social media: 1; facebook: 1; advertisements: 1; injury: 1; injury epidemiology: 1; public health surveillance: 1; lyme disease: 1; borrelia burgdorferi: 1; data use & quality: 1; data completeness: 1; cohort studies: 1; bias, epidemiology: 1; technology: 1; complex intervention trials: 1; database design: 1; fidelity: 1; process evaluation: 1; quality of life: 1; eq-5d-5l: 1; valuation: 1; time trade-off: 1; discrete choice experiment: 1; relational databases: 1; death rate: 1; interdisciplinary treatment substance dependence: 1; substance use disorders: 1; humanitarian: 1; mortality surveillance: 1; conflict: 1; systems integration: 1; information technology: 1; health information systems: 1; process mapping: 1; international classification of disease: 1; sustainable development goals: 1; autonomous driving: 1; passive bci: 1; eeg: 1; usability: 1; erp: 1; epidemics: 1; yendi: 1; ghana: 1; post-emergency: 1; awareness: 1; beliefs: 1; factor analysis: 1; known group comparison: 1; user-computer interface: 1; speech recognition software: 1; survey methodology: 1; malaria elimination: 1; cambodia: 1; healthrelated quality of life questionnaire: 1; chad: 1; multiple sclerosis impact scale: 1; refugees: 1; fatigue: 1; fatigue severity scale: 1; case reports: 1; continuum of care: 1; epidemiologic surveillance: 1; mechanical turk: 1; sampling: 1; meta-analysis: 1; research design: 1; clinical trial: 1; internally displaced persons (idps): 1; text messaging: 1; biometric identification: 1; observational study privacy: 1; maternal mortality: 1; mutare district: 1; zimbabwe: 1; culture: 1; translation: 1; adaptation: 1; feasibility: 1; oncology: 1; pharmacokinetic modelling: 1; rectal cancer: 1; hypoxia: 1; radiotherapy: 1; chemoradiotherapy: 1; pet: 1; pet-ct: 1; [18f]fmiso: 1; predictive biomarker: 1; breathlessness: 1; refractory breathlessness: 1; activities of daily living: 1; palliative care: 1; breathlessness support service: 1; therapies: 1; dyspnoea: 1; chronic obstructive pulmonary disease: 1; peripheral arterial disease: 1; health-related quality of life: 1; vascuqol: 1; vascuqol-6: 1; cognitive interviews: 1; rasch analysis: 1; general practitioners: 1; tuberculosis: 1; etr.net: 1; tb control programs: 1; south africa: 1; health information system: 1; s.d.gs: 1; health indicators: 1; health data: 1; global estimates: 1; bangladesh: 1; crowdsourcing: 1; human flu: 1; influenza: 1; grippe: 1; mhealth: 1; texting: 1; mobile apps: 1; short message service: 1; text message: 1; site selection: 1; methodology: 1; clinical research: 1; multicenter studies: 1; remote consultation: 1; clinical archetype: 1; mdecins sans frontires (msf): 1; clinical decision-making: 1; eelgrass conservation: 1; nondestructive estimation: 1; allometric projection suitability, methodological influences: 1; sensitivity analysis: 1; external validity: 1; internal validity: 1; lessons: 1; pragmatic: 1; randomised controlled trial: 1; parents satisfaction: 1; nicu: 1; neonatal: 1; predictive value positive: 1; case fatality rate: 1; osu klottey: 1; stakeholders: 1; indicators: 1; monitoring and evaluation: 1; interrai: 1; facilitating factors: 1; kangaroo mother care utilisation: 1; low-birth-weight infants: 1; lmics: 1; parents: 1; dietary assessment technologies: 1; nutrition surveys: 1; mobile applications: 1; web-based tools: 1; aes, australian eating survey: 1; ahs, australian health survey: 1; ampm, automated multiple-pass method: 1; asa24, automated self-administered 24-hour recall: 1; dnfcs, dutch national food consumption survey: 1; icdam9, 9th international conference on diet and activity methods: 1; mfr, mobile food record: 1; mrc, medical research council: 1; ndns, national diet and nutrition survey: 1; nhanes, national health and nutrition examination survey: 1; rp, rolling programme: 1; webdasc, web-based dietary assessment software for children: 1; career choice: 1; discouraging factors: 1; medical students: 1; district: 1; health system: 1; performance assessment: 1; accountability: 1; decision-making: 1; league table: 1; decentralization: 1; protein stability prediction: 1; variation interpretation: 1; mutation: 1; benchmark quality: 1; machine learning method: 1; migrant health: 1; asylum seeker: 1; refugee: 1; perinatal health: 1; access to care: 1; systematic review: 1; adolescents: 1; health risk behavior: 1; kenya: 1; audio computer assisted self-interview: 1; validation: 1; cost measurement: 1; patient-reported: 1; randomized clinical trial: 1; resource use: 1; cms-2728: 1; esrd: 1; claims: 1; comorbidity: 1; usrds: 1; birth registry: 1; coverage: 1; monitoring: 1; disease notification: 1; methicillin-resistant staphylococcus aureus: 1; telephone interviews: 1; urban population: 1; spatial behavior: 1; environment and public health: 1; data accuracy: 1; coproduction: 1; community: 1; partners: 1; learning: 1; diabetes: 1; parent satisfaction: 1; parent experience: 1; rna-seq: 1; amoebozoa: 1; dna barcode: 1; bioinformatics: 1; cryptic species: 1; phylogenomics: 1; hospital: 1; availability: 1; general practice assessment questionnaire: 1; primary care: 1; physician-patient communication: 1; interpersonal performance: 1; "
2,Acceptability of Results,acceptability,,aanalytical1995uncertainty,1,
3,Access Security,security,The extent to which access to data can be restricted and hence kept secure.,wang1996beyond,2,clinical datasets: 1; translational research: 1; research data management: 1; data catalogue: 1; health informatics: 1; record linkage: 1; public health informatics: 1; public health surveillance: 1; disease notification: 1; communicable diseases: 1; electronic laboratory reporting: 1; electronic health records: 1; 
4,Accessibility,availability [sidi2012data],The extent to which data are available or easily and quickly retrievable.,wang1996beyond,340,"data quality: 27; electronic health records: 10; epidemiology: 10; data collection: 7; mortality: 7; surveillance: 6; methodology: 5; china: 5; quality: 5; database: 5; informatics: 5; incidence: 5; hiv: 5; survey: 5; data management: 4; electronic data capture: 4; quality control: 4; information systems: 4; quality improvement: 4; cancer: 4; kenya: 3; hospital information systems: 3; immunization: 3; validity: 3; health information systems: 3; review: 3; health information technology: 3; registry: 3; ehr: 3; electronic medical records: 3; maternal and child health: 3; patient registry: 3; malaria: 3; diabetes: 3; cancer registry: 3; assessment: 3; india: 3; public health informatics: 3; global vaccine action plan: 3; public health: 3; ghana: 3; administrative data: 3; health information: 3; follow-up: 3; emergency medicine: 2; hiv/aids: 2; epidemiologic methods: 2; program evaluation: 2; quality assurance: 2; health system reform: 2; information system: 2; breast cancer: 2; vaccines: 2; sentinel surveillance: 2; madagascar: 2; mobile phone: 2; public health surveillance: 2; mental health: 2; data accuracy: 2; genomics: 2; monitoring and evaluation: 2; research networks: 2; validation: 2; health care: 2; routinely collected data: 2; integrated care: 2; data use and quality: 2; pregnancy: 2; proteomics: 2; emergency department: 2; mhealth: 2; vital signs: 2; mobile data collection: 2; secondary use: 2; clinical trial: 2; e-health: 2; smartphone: 2; iot: 2; health information system: 2; interventions: 2; dietary assessment: 2; data: 2; surveillance system: 2; primary care: 2; evaluation: 2; information and communication technology: 2; patient-reported outcomes: 2; parent satisfaction: 2; patient satisfaction: 2; quality of care: 2; big data: 2; behavior: 2; data linkage: 2; record linkage: 2; primary health care: 2; cause of death: 2; 16s rrna: 2; general practitioner (gp): 2; data warehouse: 2; crowdsourcing: 2; clinical trials: 2; questionnaire: 2; precision medicine: 2; monitoring: 2; reliability: 2; randomised controlled trial: 2; medical informatics: 2; hiv surveillance: 2; health informatics: 2; translational research: 2; error rate: 1; death rate: 1; humanitarian: 1; conflict: 1; post-emergency: 1; chad: 1; refugees: 1; internally displaced persons (idps): 1; mdecins sans frontires (msf): 1; community health workers: 1; computing: 1; automatization: 1; high-throughput: 1; data processing: 1; field trials: 1; plant phenotyping: 1; multi-sensor fusion: 1; image-based sensors: 1; plant breeding: 1; sensor platform: 1; misuse of emergency medical services: 1; data quality management processes: 1; variation in emergency department use: 1; iso 8000-61: 1; monitoring and evaluation (m&e): 1; task shifting: 1; health workforce: 1; acl: 1; anterior cruciate ligament registry: 1; predictive value: 1; clinical information system: 1; data quality in sensors: 1; antenatal care: 1; internet-of-things: 1; gold standard: 1; geographical information systems (gis): 1; spatial: 1; mailing lists: 1; smart, connected products: 1; family physician: 1; scps: 1; information quality: 1; hospital discharge data.: 1; text mining: 1; user computer interface: 1; vital signs.: 1; patagonia: 1; peninsula valds: 1; tenebrionidae: 1; pimeliinae: 1; tenebrioninae: 1; lagriinae: 1; edrotini: 1; nycteliini: 1; epitragini: 1; stenosini: 1; scotobiini: 1; opatrini: 1; belopini: 1; blapstinus punctulatus: 1; ecnomoderes bruchi: 1; emmallodera hirtipes: 1; epipedonota cristallisata: 1; hylithus tentyroides: 1; leptynoderes strangulata: 1; leptynoderes tuberculata: 1; mitragenius araneiformis: 1; nyctelia nodosa: 1; rhypasma quadricollis: 1; epitragus spp.: 1; electronic immunization registries: 1; immunization information systems: 1; participatory sensing: 1; reputation: 1; contribution: 1; sequencing: 1; illumina: 1; core-facility: 1; best practice: 1; nutrition survey: 1; data cleaning: 1; disease burden: 1; malnutrition prevalence: 1; cystic fibrosis: 1; disease registry: 1; sri lanka: 1; computer: 1; handheld: 1; randomised control trial: 1; clinical practice guidelines: 1; patient: 1; public: 1; attitudes: 1; awareness: 1; rehabilitation medicine: 1; neurology: 1; immunization data: 1; primary care/general practice: 1; national immunization programs: 1; ehealth: 1; related factors: 1; data use: 1; developing country: 1; financial protection: 1; task-shifting: 1; rna-seq: 1; fastqc: 1; rna-seqc: 1; rseqc: 1; arduino: 1; multi-sensor platform: 1; open-hardware: 1; microcontroller: 1; soil water content: 1; contactless temperature sensor: 1; infrared thermometry: 1; wireless data: 1; prevention of mother-to-child transmission of hiv: 1; antiretroviral therapy: 1; option b+: 1; implementation science: 1; data collection process: 1; electronic questionnaires: 1; paper questionnaires: 1; quality of collected data: 1; general practice: 1; research: 1; medical records systems, computerised: 1; patient selection: 1; development: 1; vaccinations: 1; immunizations: 1; resource tracking: 1; android mobile application: 1; environmental monitoring system: 1; global positioning system: 1; low-cost sensor: 1; national childrens study: 1; neurotoxicology: 1; early warning: 1; study design: 1; online taxonomic resources: 1; interoperable web services: 1; information retrieval: 1; taxonomy: 1; knowledge bases: 1; estimation: 1; workbook: 1; phenotypes: 1; novel traits: 1; dairy cows: 1; functional traits: 1; knowledge representations: 1; maternity: 1; shared-care: 1; paper hand-held record (phr): 1; electronic health record (ehr): 1; best practice variable: 1; observational studies: 1; guidance for analysis: 1; level of statistical knowledge: 1; discrete choice experiments: 1; bestworst scaling: 1; capability approach: 1; well-being: 1; economic evaluation: 1; variance heterogeneity: 1; methods for integration of information from disparate sources: 1; data use agreements: 1; population health: 1; pcor: 1; safetynet: 1; community health centers: 1; web-based: 1; health information exchange: 1; clinical research: 1; patient registries: 1; stroke: 1; data repository: 1; health neighbourhood: 1; unified: 1; agricultural models: 1; observational data: 1; comparative effectiveness: 1; medico-administrative databases: 1; care trajectories: 1; state sequence data analysis: 1; net primary productivity: 1; disparities: 1; aquaculture: 1; fish: 1; food: 1; lca: 1; life cycle assessment: 1; seafood: 1; functional magnetic resonance imaging: 1; cognitive neuroscience: 1; brain imaging: 1; magnetic resonance imaging: 1; multifaceted feedback: 1; critical care: 1; bed occupancy: 1; nurse-to-patient ratio: 1; exercise: 1; web-based interventions: 1; activity monitoring: 1; physical fitness: 1; algorithms: 1; data summarization: 1; clinical pathways: 1; visualization: 1; prostate cancer: 1; epic: 1; health care information system: 1; depic: 1; mobile technology: 1; bethy/dlr: 1; land cover: 1; vaccine record: 1; weather: 1; acute coronary syndromes: 1; quality indicators: 1; health and demographic surveillance system: 1; clinical data interchange standards consortium: 1; data management platform: 1; clinical data management systems: 1; very long baseline interferometry (vlbi): 1; vlbi global observing system (vgos): 1; geodetic observatory wettzell: 1; twin telescopes wettzell: 1; vlbi correlation: 1; paediatrics: 1; apps: 1; asthma: 1; e-crf: 1; good clinical data management practices: 1; insulin: 1; internet: 1; mobile health: 1; clinical research informatics: 1; airborne laser scanning: 1; terrestrial lidar: 1; antarctica: 1; gnss: 1; point cloud: 1; co-registration: 1; georeferencing: 1; dem: 1; topographic map: 1; us: 1; icd-9: 1; unstructured data: 1; data pooling: 1; interoperability: 1; data exchange: 1; large scale studies: 1; public data: 1; radiotherapy: 1; als: 1; inhalant use: 1; digital surface model: 1; street children: 1; treatment seeking: 1; web mining: 1; web scraping: 1; innovation: 1; r&d: 1; cyber infrastructure: 1; dataviews: 1; hiv disclosure: 1; resource-limited setting: 1; dsm: 1; nutritional surveillance: 1; public policy: 1; nutrition databases: 1; usual intake: 1; nutrition policy: 1; dialysis: 1; transplantation: 1; esrd: 1; renal replacement therapy: 1; common data model: 1; clinical coding: 1; observational health data sciences and informatics (ohdsi): 1; end-of-life decisions: 1; france: 1; mixed-mode survey: 1; interoperable sensors: 1; inspire: 1; airsenseur: 1; internet of things: 1; sensor observation service: 1; sensor web enablement: 1; air quality: 1; dental: 1; health services: 1; planning: 1; light detection and ranging: 1; context: 1; ontology: 1; telemedicine: 1; quality of data: 1; normal distribution: 1; middle-upper arm circumference: 1; child malnutrition: 1; wasting: 1; probit: 1; lidar: 1; mixed-methods: 1; emis: 1; roof extraction: 1; thailand: 1; cohort: 1; linked data preparation: 1; exposure status: 1; perinatal: 1; prisoner: 1; photovoltaic: 1; digital mapping: 1; geographic locations: 1; phosphat: 1; men who have sex with men: 1; hearing voices: 1; auditory hallucinations: 1; social media: 1; facebook: 1; advertisements: 1; electronic health records [mesh]: 1; data collection [mesh]: 1; global health [mesh]: 1; shandong province: 1; assisted partner services: 1; open data kit: 1; tobacco: 1; tobacco marketing: 1; retail environments: 1; compliance assessment: 1; policy implementation: 1; point-of-sale: 1; russia: 1; mobile devices: 1; phenotype digitizer: 1; growth rate: 1; net birth rate: 1; phenotype comparison: 1; cell population dynamics: 1; parameter estimation: 1; computational modeling: 1; mathematical models: 1; open source: 1; user friendly: 1; multicellds: 1; chip-seq: 1; dnase-seq: 1; quality atlas: 1; analysis pipeline: 1; data use & quality: 1; data completeness: 1; protein phosphorylation: 1; pros: 1; patient-reported outcome measures: 1; proms: 1; cohort studies: 1; bias, epidemiology: 1; technology: 1; complex intervention trials: 1; database design: 1; fidelity: 1; process evaluation: 1; quality assurance procedures: 1; inter-rater reliability: 1; family satisfaction: 1; arabidopsis: 1; traumatic brain injury: 1; rehabilitation: 1; abdominal aortic aneurysm: 1; cardiovascular risk: 1; vascular diseases: 1; population based study: 1; screening: 1; abi: 1; pwv: 1; electrocardiography: 1; spirometry: 1; diet: 1; triage: 1; analytics: 1; human genome: 1; electronic medical record: 1; business lists: 1; infousa: 1; dun and bradstreet: 1; neighborhood food environment: 1; human-rabies: 1; investigation: 1; post-exposure prophylaxis: 1; animal-bite surveillance: 1; emergency medical services: 1; medical records: 1; peripheral venous blood: 1; cardiac anesthesia: 1; linkage error: 1; linkage evaluation: 1; hospital admission: 1; mortality surveillance: 1; anesthesia: 1; systems integration: 1; information technology: 1; process mapping: 1; international classification of disease: 1; sustainable development goals: 1; disease prediction: 1; multicenter trials: 1; metagenomics: 1; intestinal bowel syndrome: 1; knowledge acquisition: 1; urbanization: 1; clinical data mart: 1; hydroxymethylglutaryl-coa reductase inhibitors: 1; clinical data warehouse: 1; live kidney donation: 1; comparison studies: 1; next generation sequencing (ngs): 1; outcomes: 1; safety: 1; dropout rate: 1; techiman municipality: 1; children: 1; mechanical turk: 1; loni pipeline: 1; online research: 1; vaccines and immunisation: 1; vaccination register: 1; patient information systems: 1; vaccine lot number: 1; finland: 1; immunisation information systems: 1; vaccination coverage: 1; vaccination records: 1; data quality; perch.: 1; web-camera: 1; eye tracking: 1; visual paired comparison: 1; visual memory: 1; methodology comparison: 1; hebei province: 1; snps: 1; open-source software: 1; acute kidney injury: 1; nhs aki algorithm: 1; linked data: 1; data validation: 1; linkage of multiple sources: 1; case reports: 1; continuum of care: 1; epidemiologic surveillance: 1; neurophysiology: 1; electrophysiology: 1; electroencephalogram: 1; quantitative eeg: 1; consumer eeg: 1; text messaging: 1; biometric identification: 1; observational study privacy: 1; airborne gamma-ray spectrometry: 1; low-cost gnss: 1; barometric sensors: 1; radar altimeter: 1; imu: 1; biodiversity data: 1; data degradation: 1; maps of ignorance: 1; species distribution models: 1; temporal decay: 1; data quality assurance (dqa): 1; safe childbirth checklist (scc): 1; maternal morbidity: 1; maternal and perinatal mortality: 1; data feedback: 1; supportive supervision: 1; uttar pradesh: 1; randomized control trial (rct): 1; observational study: 1; nutritional epidemiology: 1; data interoperability: 1; online experiment: 1; video data acquisition: 1; preferential looking: 1; developmental psychology: 1; infants: 1; culture: 1; translation: 1; adaptation: 1; feasibility: 1; cnvs: 1; imaging: 1; workflow: 1; cloud infrastructure: 1; wireless sensor networks: 1; dependability: 1; machine learning: 1; bioinformatics: 1; sensor fusion: 1; home care services: 1; information exchange: 1; case study: 1; population surveillance: 1; health policy: 1; environmental monitoring: 1; general practitioners: 1; hospital records: 1; tuberculosis: 1; etr.net: 1; tb control programs: 1; south africa: 1; health and demographic surveillance site: 1; malawi: 1; publicprivate mix: 1; lao pdr: 1; malaria diagnosis: 1; treatment: 1; cardiomyopathy: 1; central data management: 1; quality management: 1; hospital-based registry: 1; tumor: 1; abstracting: 1; qualitative research: 1; health survey: 1; cancer trials: 1; routine data linkage: 1; human flu: 1; influenza: 1; grippe: 1; texting: 1; mobile apps: 1; short message service: 1; text message: 1; developing countries: 1; personal health record systems: 1; health records, personal: 1; data analytics: 1; questionnaires: 1; patient-centered care: 1; health platforms: 1; multiorganizational systems: 1; ultralarge systems: 1; vaccination: 1; workforce development: 1; uganda: 1; global health security: 1; mri template creation: 1; multivariate adaptive regression splines: 1; dartel: 1; structural mri: 1; data quality assessment: 1; decision making: 1; health systems research: 1; health systems strengthening: 1; mozambique: 1; rwanda: 1; zambia: 1; anser caerulescens: 1; disturbance: 1; drone: 1; nest camera: 1; noninvasive: 1; unmanned aircraft system: 1; waterfowl: 1; atmospheric dynamics: 1; hydrology: 1; environmental chemistry: 1; cardiovascular diseases: 1; chinese: 1; eelgrass conservation: 1; nondestructive estimation: 1; allometric projection suitability, methodological influences: 1; sensitivity analysis: 1; external validity: 1; internal validity: 1; lessons: 1; pragmatic: 1; births and maternities: 1; global vaccine safety blueprint: 1; adverse events following immunization: 1; aefi reporting: 1; vaccine safety surveillance: 1; simulation training: 1; program monitoring: 1; video monitoring: 1; integrated disease surveillance and response idsr: 1; basic healthcare: 1; infectious diseases: 1; dietary assessment technologies: 1; nutrition surveys: 1; mobile applications: 1; web-based tools: 1; aes, australian eating survey: 1; ahs, australian health survey: 1; ampm, automated multiple-pass method: 1; asa24, automated self-administered 24-hour recall: 1; dnfcs, dutch national food consumption survey: 1; icdam9, 9th international conference on diet and activity methods: 1; mfr, mobile food record: 1; mrc, medical research council: 1; ndns, national diet and nutrition survey: 1; nhanes, national health and nutrition examination survey: 1; rp, rolling programme: 1; webdasc, web-based dietary assessment software for children: 1; digital medicine: 1; biomarkers: 1; closed loop: 1; sensors: 1; community ecology: 1; imperfect detection: 1; multispecies occupancy modeling: 1; species richness: 1; stream fish communities: 1; barriers: 1; career choice: 1; discouraging factors: 1; medical students: 1; geocoding: 1; drive-times: 1; patient travel: 1; neighbourhood statistics: 1; digital divide: 1; geospatial data: 1; health inequalities: 1; inverse care law: 1; gis: 1; palliative care: 1; effectiveness: 1; heart failure: 1; feasibility studies: 1; anthropometry: 1; nutrition: 1; child: 1; weight-for-height: 1; weight-for-age: 1; height-for-age: 1; mid-upper arm circumference: 1; muac: 1; standard deviation: 1; kurtosis: 1; computer-assisted personal interviewing: 1; computer-assisted survey research: 1; infant feeding: 1; strengths: 1; weaknesses: 1; opportunities: 1; and threats analysis: 1; cervical cancer: 1; characteristics: 1; methods: 1; learning health system: 1; whole-genome sequencing: 1; mrsa: 1; clinical application: 1; wdqs: 1; web-based data query systems: 1; state public health query systems: 1; health surveillance: 1; public health query systems: 1; disseminated and public health: 1; state public health aggregate level data: 1; state agency and public health: 1; data and public health agencies: 1; rare diseases: 1; bio-informatics: 1; knowledge acquisition and knowledge management: 1; cost measurement: 1; patient-reported: 1; randomized clinical trial: 1; resource use: 1; retention: 1; participant trackers: 1; clinical datasets: 1; research data management: 1; data catalogue: 1; pancreatic cancer: 1; mortality-to-incidence ratio: 1; acoustic monitoring: 1; australasian bittern: 1; botaurus poiciloptilus: 1; cryptic: 1; detectability: 1; new zealand: 1; surveys: 1; ankylosing spondylitis: 1; harmonization: 1; psoas cohort: 1; reliability of data: 1; metataxonomics: 1; microbiome: 1; windows: 1; marker gene: 1; ontology evaluation: 1; ontology modeling: 1; entropy-based metric: 1; knowledge representation: 1; big data and semantics: 1; real-world evidence: 1; randomized control trial: 1; real-world data: 1; random forest: 1; kriging: 1; predictive modeling: 1; r statistical computing: 1; sampling: 1; spatiotemporal data: 1; spatial data: 1; geostatistics: 1; pedometrics: 1; open: 1; archival: 1; information: 1; system: 1; biomedical: 1; preservation: 1; access: 1; companies: 1; corporate information: 1; entry barriers: 1; stakeholders: 1; corporate relations: 1; business transparency: 1; parent experience: 1; decision support systems: 1; data security: 1; semantic interoperability: 1; disease notification: 1; communicable diseases: 1; electronic laboratory reporting: 1; bangladesh: 1; senegal: 1; prevention of mother-to-child transmission: 1; antenatal clinic: 1; hospital: 1; availability: 1; tanzania: 1; general practice assessment questionnaire: 1; physician-patient communication: 1; interpersonal performance: 1; demography: 1; international issues: 1; measurement: 1; self-rated health: 1; linked data (data linkage): 1; accuracy of self-reports: 1; elderly: 1; hypertension: 1; facioscapulohumeral muscular dystrophy: 1; fshd: 1; fshd1: 1; fshd2: 1; myopathy: 1; data (database) management system: 1; diseases of poverty: 1; plasmodium falciparum: 1; automated documentation: 1; logistics management information system: 1; health facility: 1; performance: 1; program drugs: 1; ethiopia: 1; civil registration: 1; vital statistics: 1; birth certificates: 1; sensor-based systems: 1; sensor-cloud systems: 1; quality-aware query: 1; source quality: 1; "
